ra,dec,parallax,g_mag,bp_rp
23.29809412620684,60.69437584364855,0.3358417952513549,19.531345,2.0883522
23.25949351322211,60.67037303744419,0.33704402725083654,15.704481,0.8587141
23.44662077469987,60.64401319816083,0.33717497679496244,14.511514,0.57920074
23.39822985050388,60.67741187082999,0.337222292704595,11.881406,2.4530573
23.25990245615308,60.69401004451159,0.3374352883645965,15.549917,0.81669426
23.41274249201973,60.618215521368064,0.33762301247933846,17.565155,1.3954887
23.35963458840393,60.64278925137121,0.3380010107755151,12.985984,0.4112339
23.390757632815546,60.6581911899106,0.3384881114789114,14.836717,0.64952946
23.361930590088573,60.648336999281234,0.3384922000167166,15.946546,1.0213203
23.36526460956058,60.67440389820864,0.3391119213851232,19.196857,1.3301506
23.221430000997728,60.633188229873824,0.33952008050254256,15.976628,1.2205505
23.260573546949523,60.63714695168792,0.3400255755278785,19.354122,1.5422249
23.326866856673952,60.61952398795183,0.34015075747244095,15.380321,0.7448721
23.301966961073163,60.60736169606543,0.3403529659694169,19.64475,1.167448
23.421393543760527,60.627968582195415,0.34103390789145344,16.967644,1.3237534
23.399235533351817,60.69909646089354,0.34112242319882924,18.734968,1.4068546
23.30493857799667,60.69621879460907,0.3418160292312067,14.336776,0.5578537
23.23945435568307,60.627208053234014,0.34288211912898203,19.124092,1.5242729
23.381390012616716,60.6839806118101,0.34295220358869144,19.094328,1.588295
23.350590297019558,60.708757062165446,0.34312779376695296,17.534588,1.4171963
23.34819721589807,60.661549124978535,0.3432134966506098,17.994942,1.4612484
23.335895832172902,60.62345323298251,0.3432214527930687,16.525372,1.1293526
23.412346513813638,60.6440005209742,0.34329290644009625,13.0650425,0.39548683
23.31742185566618,60.66206363745413,0.34343070691010597,11.365556,0.35938358
23.39491667823978,60.62423754014593,0.34388696724455875,16.503149,1.1480427
23.30834339443512,60.68643413987309,0.3440244125883409,7.171025,0.4746971
23.36025097535987,60.67517512453237,0.34418386074487645,15.808729,0.9588375
23.417923071059928,60.63413523438726,0.34423903372854786,16.441788,1.5762405
23.228796257387987,60.67996291192022,0.3447458972382711,17.377245,1.1843147
23.32839559525308,60.59523202225845,0.3449633623978632,20.635262,1.7314587
23.29569821464516,60.6587415020992,0.345160123452361,11.742261,0.51765347
23.3717145123214,60.64658369954386,0.3453207345881981,7.4370637,2.4815297
23.403069934607565,60.61762983152958,0.34550719486019743,19.374989,1.9041939
23.384452900610036,60.71021868983991,0.345572257843659,16.994858,1.2096863
23.265682375772673,60.698182551745404,0.34589346855625164,15.799185,1.1404915
23.3528770134794,60.66678055069262,0.3463907479509448,13.707952,0.55599403
23.324690285597256,60.64422551772966,0.3474783906925133,19.449745,1.3555851
23.37473015239281,60.63068259629263,0.348347792170945,17.125896,1.2071285
23.27718702060045,60.659076920007124,0.3495778814152755,14.926271,0.88342
23.41953959080233,60.69452792226586,0.34960746670965026,18.834251,1.528677
23.45113411164322,60.652928114776856,0.34983400001008486,18.408237,1.3545532
23.33760520463254,60.69553548600315,0.3498858758668543,14.924425,0.62457657
23.268004634190586,60.65620412739131,0.35049327866089464,13.228353,0.510993
23.265238710150598,60.668510272444,0.351311580972744,15.526078,0.7955017
23.303497514518025,60.704387180567885,0.35139582642760925,16.660019,1.1685314
23.405332941592828,60.65456717735282,0.3514540805858323,19.8126,1.6411095
23.255514404892914,60.69997980040384,0.35150836853856604,18.477282,1.5298252
23.32662153890398,60.64066063991936,0.3519785657999778,13.067874,0.47503853
23.367428365327342,60.66426661394457,0.35206126095050627,16.121737,1.051364
23.305426213703974,60.65076275531062,0.3522109375925092,15.05817,0.9549303
23.254330196768166,60.66693053329929,0.3522934224963886,14.24257,0.53760624
23.299330743570906,60.70643493310248,0.35232398595680464,14.262332,0.71060944
23.343120763273042,60.59316140109806,0.35253377702388045,16.955847,1.2768402
23.293629239761678,60.625031417053286,0.3525678007366191,13.3919,0.48573875
23.399348932271476,60.65070635630745,0.35303729326606476,13.750877,0.5248327
23.285915117736156,60.650049660299246,0.3530468490412434,19.152458,1.6401138
23.326520434809982,60.662937969874406,0.3530709887878864,18.714373,1.8124752
23.26459335114224,60.69464524332331,0.35339208834888175,16.810173,1.0451107
23.31068121227751,60.65674962781371,0.3551089364174688,14.3635025,0.6081867
