ra,dec,parallax,g_mag,bp_rp
264.49462947656895,-3.2385021928377773,-6.5312965683428255,20.772676,1.2438698
264.3694292189652,-3.250266512726942,-6.516363478312438,18.977829,1.6172314
264.4091529951962,-3.228978543242185,-6.493431746942196,19.397144,1.6809464
264.403655204928,-3.2069678973901743,-6.437284909198645,20.338314,1.160675
264.4534456089409,-3.274044965069756,-6.361684204687699,20.581274,1.8680096
264.3413819002044,-3.2544281601142764,-6.338954098090539,20.840055,1.6042519
264.36487624922665,-3.2607697409844425,-6.287027582690652,20.366606,1.5892811
264.41454643077583,-3.2115240407544317,-6.245992302034545,19.957458,1.5920486
264.44367816069797,-3.2943230734795463,-6.224065036104184,20.755898,1.6212997
264.4073321512348,-3.2627579641983546,-6.20493173146127,18.464874,1.5088787
264.4417349103381,-3.2673538739000403,-6.187512590609083,20.651112,1.8032875
264.4492340522962,-3.2618740380674778,-6.028069825826205,20.169619,1.5378151
264.4059591304239,-3.259066370135344,-6.022266930947393,19.136148,1.4284859
264.429179213798,-3.287012018639604,-6.006484793225879,20.502375,1.3959293
264.33203958908865,-3.2336359784916024,-5.99585033216,20.60822,1.3435688
264.3948996730133,-3.2918909669297762,-5.971393334379471,20.656958,1.9223557
264.4230557164995,-3.243804930394007,-5.923322428461681,18.92303,1.2370033
264.3870349929622,-3.284679254802553,-5.895282026750432,20.078447,1.3743706
264.4121586521355,-3.2117623375544007,-5.883034831915762,19.877325,1.54743
264.4342804778967,-3.295666686300798,-5.875138948660976,20.758585,0.60160637
264.3972167193821,-3.2137565054101573,-5.7182223001753645,19.782656,1.6029015
264.41046628580756,-3.2875743529148718,-5.699674745838258,20.45844,1.750824
264.4058681829123,-3.208712731904529,-5.617826668896636,20.44809,1.3900394
264.3927597659215,-3.2397903795007426,-5.537829303874444,16.856297,1.7451267
264.3027187548737,-3.2589915620350434,-5.5078188272278155,20.841473,0.99798775
264.4031822242757,-3.2627445669000026,-5.4995300402317255,19.390015,1.8513908
264.3808114428308,-3.176665069406087,-5.439311946238692,20.831667,1.0491219
264.41908732966255,-3.243248293634892,-5.3748426150728745,19.93213,1.295969
264.3644282546273,-3.2835133081311474,-5.339126536981992,20.802391,1.1787663
264.42362018265595,-3.23815449464812,-5.319175202115738,18.911406,1.6658134
264.39288794257783,-3.302943135791452,-5.2872437238993575,20.819098,1.4963188
264.3241051315836,-3.2437517857371847,-5.260402161597957,20.672709,0.9359875
264.37791835260265,-3.261441170240966,-5.142141160285635,19.76714,0.9157772
264.3616533846793,-3.2432586685175826,-5.029329906056015,20.25335,1.4048939
264.4027491624635,-3.178235319143954,-4.974964831009431,20.70325,0.69870186
264.3715901286974,-3.254165509659249,-4.948990419454669,19.354153,1.5110626
264.36589580046376,-3.2489457244708526,-4.946998472124885,19.476614,0.4975605
264.43243284481537,-3.2198081042540143,-4.93324286816771,20.28455,4.3501873
264.39260238324323,-3.2688425600921875,-4.929289646385221,18.632496,1.7299213
264.4241848770935,-3.2148469046491677,-4.923603731813627,19.702051,1.5176811
264.4214141714991,-3.2795225840356133,-4.909759580643598,20.573662,1.3292179
264.43647277447303,-3.2169169754013525,-4.90280701735854,20.405754,1.7678337
264.4035437489986,-3.1439435581872646,-4.9021200548568,20.911894,1.2107239
264.38395156945717,-3.347389863411644,-4.863238690060414,20.747786,1.430584
264.4450620160712,-3.2901822287985105,-4.8537962240842925,20.829533,1.6580944
264.46087474188283,-3.2530587931185533,-4.819723991280351,20.901976,0.68964386
264.36645382910126,-3.288529444689481,-4.78957004825899,20.527075,2.1816673
264.3668931197965,-3.2726105379875445,-4.789386042598943,20.260736,3.565586
264.4013258425377,-3.2646086533686223,-4.781734893690981,19.436378,1.288332
264.3854477147221,-3.2513071235494344,-4.759219450205614,18.35451,1.6684265
264.45157337315266,-3.2487101250792643,-4.75407472914303,20.724642,1.6877537
264.4424356416971,-3.2529275071931503,-4.752952091032048,20.445019,2.1343021
264.3766051701666,-3.215438911168572,-4.737566447421386,20.138344,1.9123173
264.3424045117426,-3.2703995840376034,-4.732007673655987,20.428875,1.8854275
264.40501135535,-3.2562698089397695,-4.705930506501137,17.69954,1.671113
264.4372391023594,-3.2568532654172695,-4.705285562724915,20.15572,1.2277012
264.39361347063766,-3.2905866248531757,-4.689769464559317,20.389933,1.6155167
264.45752224284735,-3.281527678855253,-4.645005546354811,20.85429,1.5265503
264.41331255667893,-3.2135187931564815,-4.638657316768926,20.076551,1.4845657
264.41130058288786,-3.22674095263854,-4.628247659933813,19.570576,1.6120949
264.3703127242977,-3.2862496299387813,-4.6164471325708725,20.676937,1.0813122
264.40941602787086,-3.222088990696822,-4.614674524705826,19.62457,1.6602058
264.3588705359118,-3.2037563756469547,-4.608675118077917,20.867687,1.950119
